time(sec),flameHeight(cm)
-2.4787,65.5833
-2.47708,65.5833
-2.47513,65.5833
-2.47352,66.4166
-2.47158,59.9583
-2.47002,59.9584
-2.46814,60.5834
-2.46661,60.5834
-2.46475,60.5834
-2.46324,60.5834
-2.46141,60.5834
-2.45991,60.5834
-2.4581,60.5834
-2.45662,60.5833
-2.45483,60.5833
-2.45337,60.5833
-2.45159,44.9583
-2.45015,45.375
-2.4484,45.7917
-2.447,45.7917
-2.44527,45.7917
-2.44388,46.2084
-2.44217,42.875
-2.44079,42.875
-2.43907,42.875
-2.43769,42.875
-2.43597,42.875
-2.43458,43.2916
-2.43285,43.2916
-2.43144,43.7084
-2.4297,43.7084
-2.42823,44.125
-2.42645,44.125
-2.42495,44.125
-2.42313,44.125
-2.42159,44.125
-2.41971,44.125
-2.41814,44.125
-2.4162,44.125
-2.41459,43.7084
-2.41261,43.7083
-2.41096,42.875
-2.40893,42.0417
-2.40724,40.375
-2.40514,40.7917
-2.40342,40.7917
-2.40131,39.125
-2.39958,37.4584
-2.39746,34.125
-2.39573,33.2917
-2.3936,28.7083
-2.39185,24.9584
-2.38969,24.5416
-2.38795,22.875
-2.3858,22.0417
-2.38405,21.6251
-2.38192,22.0418
-2.38015,21.2084
-2.378,20.7917
-2.37628,20.7917
-2.37419,21.2084
-2.37248,21.2084
-2.37038,21.6251
-2.36863,22.0418
-2.36649,22.4584
-2.36475,22.4584
-2.3626,22.875
-2.3608,23.2917
-2.35857,23.7083
-2.3567,23.7083
-2.35439,24.125
-2.3525,24.5417
-2.35017,24.9584
-2.34828,24.9584
-2.34593,25.3751
-2.34404,25.7917
-2.34174,26.2084
-2.33985,26.6251
-2.33757,27.0418
-2.33576,27.4584
-2.3335,27.875
-2.33174,27.8751
-2.32954,28.2917
-2.32773,28.7083
-2.32549,29.125
-2.32369,29.5417
-2.32137,29.9583
-2.31934,30.3749
-2.31696,30.7917
-2.3149,31.2084
-2.31244,31.625
-2.3103,32.4583
-2.30781,32.875
-2.30561,33.2917
-2.30297,33.7083
-2.30069,34.125
-2.29797,34.9583
-2.29567,35.375
-2.29291,35.7917
-2.29059,36.625
-2.28774,37.0417
-2.28543,37.4584
-2.2826,38.2917
-2.28029,38.7084
-2.27743,39.5416
-2.27515,39.9582
-2.2724,40.375
-2.27022,41.2083
-2.26757,41.6249
-2.26548,42.0417
-2.26295,42.875
-2.26093,43.2916
-2.25844,43.7084
-2.25652,44.125
-2.2541,44.9584
-2.25217,45.3751
-2.24982,45.7917
-2.24792,46.2084
-2.24557,47.0417
-2.24387,47.0418
-2.24168,47.875
-2.24001,47.875
-2.23792,48.2917
-2.2363,48.7083
-2.23425,49.5416
-2.23255,49.5417
-2.23047,49.9584
-2.22867,50.3751
-2.22653,50.7917
-2.22467,51.2084
-2.22262,44.9584
-2.22078,45.3751
-2.21867,46.2084
-2.21699,46.6251
-2.21492,47.0418
-2.21319,47.4584
-2.21122,47.875
-2.20965,48.2917
-2.20769,48.7083
-2.2061,39.125
-2.20406,39.9583
-2.2024,40.3749
-2.20039,40.7917
-2.1988,41.625
-2.19676,42.0417
-2.19508,42.4584
-2.1931,42.875
-2.19147,43.2917
-2.18951,44.125
-2.1879,44.5417
-2.18598,44.9584
-2.1844,45.375
-2.18252,45.7917
-2.18099,46.2084
-2.17914,47.0417
-2.17763,47.4584
-2.17578,47.875
-2.17427,49.9584
-2.17243,50.7917
-2.17093,51.2084
-2.1691,51.625
-2.16759,52.0418
-2.16573,52.4584
-2.16421,52.8751
-2.16232,53.2917
-2.16077,53.7083
-2.15885,54.125
-2.15728,54.5417
-2.15534,54.9583
-2.1538,55.375
-2.15194,55.375
-2.15045,55.7916
-2.14868,56.2084
-2.14726,49.1249
-2.14553,49.5417
-2.14417,49.9584
-2.14249,50.375
-2.14114,50.7917
-2.13945,50.7917
-2.13806,50.7917
-2.13632,51.2083
-2.1349,51.2084
