s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS
 1.5600318E+001, 1.4226579E+001,-4.3182684E+000,-1.0368793E+001,-2.2891609E-001,-1.6404473E-004, 0.0000000E+000, 0.0000000E+000,-9.8083567E-001,-6.8956271E-001, 1.2737161E-001, 3.3179508E-004,-8.3457575E-063,-1.2878445E-063
 1.5800126E+001, 1.5237896E+001,-4.1723038E+000,-8.8154647E+000,-2.3504614E-001,-1.6496785E-004, 0.0000000E+000, 0.0000000E+000, 1.6856303E+000, 2.0149158E+000, 1.2737161E-001, 3.3179508E-004,-1.0439397E-062,-1.6079376E-063
 1.6000401E+001, 1.4965264E+001,-4.3017446E+000,-1.1825490E+001,-2.2798779E-001,-1.6222822E-004, 0.0000000E+000, 0.0000000E+000,-1.5830044E+000,-1.3901207E+000, 1.2737161E-001, 3.3179508E-004,-1.2978558E-062,-1.9964917E-063
 1.6200235E+001, 1.4199553E+001,-4.1016679E+000,-8.2222285E+000,-2.3237224E-001,-1.5828036E-004, 0.0000000E+000, 0.0000000E+000, 1.3745389E+000, 1.6431263E+000, 1.2737161E-001, 3.3179508E-004,-1.6039459E-062,-2.4652138E-063
 1.6400175E+001, 1.5806281E+001,-4.7180694E+000,-1.2306946E+001,-2.2596340E-001,-1.6462075E-004, 0.0000000E+000, 0.0000000E+000,-1.6559793E+000,-1.4448621E+000, 1.2737161E-001, 3.3179508E-004,-1.9648357E-062,-3.0183502E-063
 1.6600321E+001, 1.4856190E+001,-4.4638372E+000,-8.7217555E+000,-2.4060823E-001,-1.6151776E-004, 0.0000000E+000, 0.0000000E+000, 1.2343324E+000, 1.4298279E+000, 1.2737161E-001, 3.3179508E-004,-2.3806131E-062,-3.6565376E-063
 1.6800184E+001, 1.5355195E+001,-4.9875440E+000,-1.0524918E+001,-2.3608506E-001,-1.6188064E-004, 0.0000000E+000, 0.0000000E+000,-6.9432362E-001,-3.9351422E-001, 1.2737161E-001, 3.3179508E-004,-2.8512385E-062,-4.3796802E-063
 1.7000257E+001, 1.4242056E+001,-4.3683829E+000,-1.0092620E+001,-2.2764160E-001,-1.6144024E-004, 0.0000000E+000, 0.0000000E+000,-7.2224771E-001,-4.4675008E-001, 1.2737161E-001, 3.3179508E-004,-3.3693868E-062,-5.1767025E-063
 1.7200054E+001, 1.5804776E+001,-4.5692653E+000,-9.8526834E+000,-2.3044399E-001,-1.6388052E-004, 0.0000000E+000, 0.0000000E+000, 9.1300165E-001, 1.1522198E+000, 1.2737161E-001, 3.3179508E-004,-3.9537695E-062,-6.0752227E-063
 1.7400076E+001, 1.4619182E+001,-4.8756170E+000,-8.8738000E+000,-2.2869756E-001,-1.5787987E-004, 0.0000000E+000, 0.0000000E+000, 4.5263617E-001, 6.4091004E-001, 1.2737161E-001, 3.3179508E-004,-4.6100506E-062,-7.0845657E-063
 1.7600124E+001, 1.5375343E+001,-4.9277543E+000,-8.9796352E+000,-2.2734084E-001,-1.6257807E-004, 0.0000000E+000, 0.0000000E+000, 1.0666853E+000, 1.2404504E+000, 1.2737161E-001, 3.3179508E-004,-5.3677448E-062,-8.2480666E-063
 1.7800053E+001, 1.3998488E+001,-4.4973349E+000,-1.2355680E+001,-2.3907339E-001,-1.6333515E-004, 0.0000000E+000, 0.0000000E+000,-3.3639593E+000,-3.0937636E+000, 1.2737161E-001, 3.3179508E-004,-6.2456227E-062,-9.5934755E-063
 1.8000355E+001, 1.6169100E+001,-5.4703329E+000,-6.5546820E+000,-2.4953234E-001,-1.6170169E-004, 0.0000000E+000, 0.0000000E+000, 3.6728999E+000, 3.8943911E+000, 1.2737161E-001, 3.3179508E-004,-7.2267752E-062,-1.1096095E-062
 1.8200127E+001, 1.4818237E+001,-4.8811119E+000,-1.0297657E+001,-2.3157221E-001,-1.6043784E-004, 0.0000000E+000, 0.0000000E+000,-9.0713566E-001,-5.9226403E-001, 1.2737161E-001, 3.3179508E-004,-8.3116528E-062,-1.2753458E-062
