height(cm)_15O2_coarse,Radiative emission (kW/m)_15O2_coarse,height(cm)_15O2_medium,Radiative emission (kW/m)_15O2_medium,height(cm)_15O2_fine,Radiative emission (kW/m)_15O2_fine,height(cm)_17O2_coarse,Radiative emission (kW/m)_17O2_coarse,height(cm)_17O2_medium,Radiative emission (kW/m)_17O2_medium,height(cm)_17O2_fine,Radiative emission (kW/m)_17O2_fine,height(cm)_21O2_coarse,Radiative emission (kW/m)_21O2_coarse,height(cm)_21O2_medium,Radiative emission (kW/m)_21O2_medium,height(cm)_21O2_fine,Radiative emission (kW/m)_21O2_fine
82.0833,0.755735176,49.25,3.295150547,32.8333,6.179735742,82.0833,0.279361727,49.25,2.976795065,32.8333,6.630070442,82.0833,0.221074609,49.25,3.134494842,32.8333,7.761152071
82.9167,0.718555082,49.75,3.192491551,33.1667,6.11811315,82.9167,0.264706807,49.75,2.876470441,33.1667,6.550743216,82.9167,0.210008611,49.75,3.033692045,33.1667,7.632391168
83.75,0.683074313,50.25,3.092454559,33.5,6.056467416,83.75,0.250929301,50.25,2.779620766,33.5,6.470687032,83.75,0.199671801,50.25,2.936562263,33.5,7.503632968
84.5833,0.649224236,50.75,2.995035959,33.8333,5.994770042,84.5833,0.237978489,50.75,2.686146556,33.8333,6.390090329,84.5833,0.190005783,50.75,2.843052116,33.8333,7.375058209
85.4167,0.616939398,51.25,2.900246021,34.1667,5.93296023,85.4167,0.225813631,51.25,2.595936763,34.1667,6.309129023,85.4167,0.180959526,51.25,2.753125552,34.1667,7.246717923
86.25,0.586160898,51.75,2.808101612,34.5,5.870953466,86.25,0.214400367,51.75,2.508864949,34.5,6.227959962,86.25,0.172488649,51.75,2.666742826,34.5,7.118561922
87.0833,0.55683473,52.25,2.718622697,34.8333,5.808648818,87.0833,0.203706817,52.25,2.424790018,34.8333,6.146710868,87.0833,0.164554503,52.25,2.583834686,34.8333,6.990487707
87.9167,0.528908809,52.75,2.631828904,35.1667,5.745944276,87.9167,0.19370071,52.75,2.34356488,35.1667,6.065476767,87.9167,0.15712282,52.75,2.504288625,35.1667,6.862395098
88.75,0.502332011,53.25,2.547730789,35.5,5.682762869,88.75,0.184348071,53.25,2.26504976,35.5,5.984330395,88.75,0.150162149,53.25,2.427955701,35.5,6.734228434
89.5833,0.477055518,53.75,2.466315511,35.8333,5.619080931,89.5833,0.175613076,53.75,2.189121123,35.8333,5.903343688,89.5833,0.143642607,53.75,2.354670677,35.8333,6.605997206
90.4167,0.453044277,54.25,2.387533123,36.1667,5.554943339,90.4167,0.167462776,54.25,2.115669757,36.1667,5.822607194,90.4167,0.137539153,54.25,2.284268694,36.1667,6.477779089
91.25,0.430270232,54.75,2.31129229,36.5,5.490455524,91.25,0.159864873,54.75,2.044590766,36.5,5.742234093,91.25,0.131829528,54.75,2.216588043,36.5,6.349716729
92.0833,0.408739606,55.25,2.237470005,36.8333,5.425755284,92.0833,0.152801203,55.25,1.975775411,36.8333,5.66234681,92.0833,0.126506005,55.25,2.151461205,36.8333,6.222015937
92.9167,0.388525008,55.75,2.165931828,37.1667,5.360978568,92.9167,0.146284577,55.75,1.909112614,37.1667,5.583055496,92.9167,0.121589831,55.75,2.088704775,37.1667,6.094941704
93.75,0.369827262,56.25,2.096553495,37.5,5.296235289,93.75,0.140389528,56.25,1.844499164,37.5,5.504442539,93.75,0.117157876,56.25,2.028117962,37.5,5.968803482
94.5833,0.353050442,56.75,2.029234492,37.8333,5.231602538,94.5833,0.135290613,56.75,1.781850476,37.8333,5.426560301,94.5833,0.113376476,56.75,1.969493112,37.8333,5.843927261
95.4167,0.338841563,57.25,1.963900343,38.1667,5.167130951,95.4167,0.131286955,57.25,1.721105101,38.1667,5.3494383,95.4167,0.110524153,57.25,1.912633569,38.1667,5.720622373
96.25,0.328007266,57.75,1.90049643,38.5,5.102853501,96.25,0.128772821,57.75,1.662222298,38.5,5.273089445,96.25,0.108967622,57.75,1.857371575,38.5,5.599157132
97.0833,0.321230465,58.25,1.838979622,38.8333,5.038787835,97.0833,0.128115613,58.25,1.60517647,38.8333,5.197508611,97.0833,0.109055996,58.25,1.803579858,38.8333,5.479751209
97.9167,0.318609312,58.75,1.779312664,39.1667,4.974931485,97.9167,0.129445171,58.75,1.54995201,39.1667,5.122666794,97.9167,0.110934691,58.75,1.751173635,39.1667,5.362578577
98.75,0.319213577,59.25,1.721462357,39.5,4.911256824,98.75,0.1324371,59.25,1.49653884,39.5,5.048510277,98.75,0.114349705,59.25,1.70010404,39.5,5.247767809
99.5833,0.320968575,59.75,1.665399149,39.8333,4.847713641,99.5833,0.136230737,59.75,1.44492819,39.8333,4.974971728,99.5833,0.118565753,59.75,1.65034712,39.8333,5.135392153
101.25,0.321086434,60.25,1.611095119,40.1667,4.784241378,101.25,0.139590301,60.25,1.395108955,40.1667,4.901990148,101.25,0.122496724,60.25,1.601893152,40.1667,5.02545595
103.75,0.316950214,60.75,1.558519115,40.5,4.720785153,103.75,0.141281875,60.75,1.34706538,40.5,4.829528097,103.75,0.125030098,60.75,1.55473849,40.5,4.917891979
106.25,0.307030846,61.25,1.507630818,40.8333,4.657307176,106.25,0.140489245,61.25,1.300776054,40.8333,4.757575107,106.25,0.125394881,61.25,1.508880377,40.8333,4.812579745
108.75,0.291351998,61.75,1.458377543,41.1667,4.593790114,108.75,0.137051044,61.75,1.256213256,41.1667,4.686135121,108.75,0.123382441,61.75,1.464314059,41.1667,4.709381707
111.25,0.271293176,62.25,1.410696404,41.5,4.530235631,111.25,0.131412916,62.25,1.213342194,41.5,4.615206654,111.25,0.11932189,62.25,1.421031412,41.5,4.608182997
113.75,0.248917185,62.75,1.364520793,41.8333,4.466664741,113.75,0.124361373,62.75,1.17212025,41.8333,4.544768807,113.75,0.113860937,62.75,1.379019778,41.8333,4.508919789
116.25,0.226227369,63.25,1.319787185,42.1667,4.403123428,116.25,0.116709612,63.25,1.132495953,42.1667,4.474781284,116.25,0.107696175,63.25,1.338260233,42.1667,4.411587814
118.75,0.204683764,63.75,1.276438423,42.5,4.33968962,118.75,0.109081099,63.75,1.094406918,42.5,4.405196987,118.75,0.1013801,63.75,1.298725774,42.5,4.316229763
121.25,0.185072469,64.25,1.234422926,42.8333,4.276473763,121.25,0.101839491,64.25,1.057777685,42.8333,4.335978358,121.25,0.095251083,64.25,1.260381963,42.8333,4.222907772
