s,m/s
Time,"w"
 1.3221056E+000, 2.8703539E+000
 1.3230324E+000, 2.8868609E+000
 1.3239592E+000, 2.9009461E+000
 1.3248859E+000, 2.9141452E+000
 1.3258127E+000, 2.9267887E+000
 1.3267394E+000, 2.9381182E+000
 1.3275520E+000, 2.9438527E+000
 1.3283646E+000, 2.9542406E+000
 1.3291771E+000, 2.9637761E+000
 1.3299897E+000, 2.9695614E+000
 1.3308023E+000, 2.9763515E+000
 1.3316148E+000, 2.9815257E+000
 1.3324274E+000, 2.9848917E+000
 1.3332400E+000, 2.9870692E+000
 1.3340526E+000, 2.9900870E+000
 1.3348651E+000, 2.9915685E+000
 1.3356777E+000, 2.9927749E+000
 1.3364903E+000, 2.9933866E+000
 1.3373028E+000, 2.9948055E+000
 1.3381154E+000, 2.9979981E+000
 1.3389280E+000, 2.9993177E+000
 1.3397405E+000, 3.0031655E+000
 1.3405531E+000, 3.0072742E+000
 1.3413657E+000, 3.0116191E+000
 1.3421782E+000, 3.0167984E+000
 1.3429908E+000, 3.0210804E+000
 1.3438034E+000, 3.0263880E+000
 1.3446160E+000, 3.0335135E+000
 1.3454285E+000, 3.0417962E+000
 1.3462411E+000, 3.0495726E+000
 1.3470537E+000, 3.0593279E+000
 1.3478662E+000, 3.0694133E+000
 1.3486788E+000, 3.0797217E+000
 1.3494914E+000, 3.0923486E+000
 1.3503039E+000, 3.1050832E+000
 1.3511165E+000, 3.1180146E+000
 1.3519291E+000, 3.1284509E+000
 1.3527417E+000, 3.1392321E+000
 1.3535542E+000, 3.1522717E+000
 1.3543668E+000, 3.1628671E+000
 1.3551794E+000, 3.1751858E+000
 1.3559029E+000, 3.1831642E+000
 1.3566264E+000, 3.1940060E+000
 1.3573499E+000, 3.2032465E+000
 1.3580734E+000, 3.2111636E+000
 1.3587969E+000, 3.2183545E+000
 1.3595927E+000, 3.2257424E+000
 1.3603886E+000, 3.2348346E+000
 1.3611844E+000, 3.2413877E+000
 1.3619803E+000, 3.2500320E+000
 1.3627761E+000, 3.2581211E+000
 1.3635720E+000, 3.2655453E+000
 1.3643678E+000, 3.2726977E+000
 1.3651637E+000, 3.2811674E+000
 1.3659595E+000, 3.2875352E+000
 1.3667554E+000, 3.2939224E+000
 1.3675513E+000, 3.3014821E+000
 1.3683471E+000, 3.3072205E+000
 1.3691430E+000, 3.3128856E+000
 1.3699388E+000, 3.3192177E+000
 1.3707347E+000, 3.3253909E+000
 1.3715305E+000, 3.3320634E+000
 1.3723264E+000, 3.3411972E+000
 1.3731222E+000, 3.3450989E+000
 1.3739181E+000, 3.3458679E+000
 1.3747139E+000, 3.3455324E+000
 1.3755098E+000, 3.3463382E+000
 1.3763056E+000, 3.3454958E+000
 1.3771015E+000, 3.3437629E+000
 1.3778973E+000, 3.3396105E+000
 1.3786932E+000, 3.3363800E+000
 1.3794890E+000, 3.3333391E+000
 1.3802849E+000, 3.3258483E+000
 1.3810807E+000, 3.3209401E+000
 1.3818766E+000, 3.3138846E+000
 1.3826725E+000, 3.3061967E+000
 1.3834683E+000, 3.3044161E+000
 1.3842642E+000, 3.2967457E+000
 1.3850600E+000, 3.2938974E+000
 1.3858559E+000, 3.2857129E+000
 1.3866517E+000, 3.2873227E+000
 1.3874476E+000, 3.2801177E+000
 1.3882434E+000, 3.2794111E+000
 1.3890393E+000, 3.2702264E+000
 1.3898351E+000, 3.2648371E+000
 1.3906310E+000, 3.2655953E+000
 1.3914268E+000, 3.2586770E+000
 1.3922227E+000, 3.2570965E+000
 1.3930185E+000, 3.2443112E+000
 1.3937301E+000, 3.2416495E+000
 1.3944417E+000, 3.2345643E+000
 1.3951533E+000, 3.2307003E+000
 1.3958648E+000, 3.2299485E+000
 1.3966476E+000, 3.2196883E+000
 1.3974303E+000, 3.2118199E+000
 1.3982130E+000, 3.2027174E+000
 1.3989957E+000, 3.1950134E+000
 1.3997785E+000, 3.1858045E+000
 1.4005612E+000, 3.1764742E+000
 1.4013439E+000, 3.1696441E+000
 1.4021267E+000, 3.1565627E+000
 1.4029094E+000, 3.1475322E+000
 1.4036921E+000, 3.1371390E+000
 1.4044748E+000, 3.1271744E+000
 1.4052576E+000, 3.1180725E+000
 1.4060403E+000, 3.1078626E+000
 1.4068230E+000, 3.0967212E+000
 1.4076058E+000, 3.0906958E+000
 1.4083885E+000, 3.0755068E+000
 1.4091712E+000, 3.0636229E+000
 1.4099540E+000, 3.0494489E+000
