s,kW,kW
Time,HRR,HRR_rad_loss
7.092250E+00,1.719470E+01,6.681475E+00
7.101160E+00,1.664354E+01,6.104584E+00
7.109670E+00,1.598799E+01,5.107451E+00
7.118240E+00,1.569118E+01,4.088557E+00
7.127610E+00,1.483739E+01,5.498645E+00
7.138160E+00,1.350015E+01,5.220534E+00
7.149020E+00,1.398412E+01,4.633795E+00
7.159670E+00,1.509324E+01,4.101717E+00
7.170950E+00,1.601420E+01,3.794547E+00
7.181710E+00,1.629959E+01,6.872504E+00
7.192660E+00,1.649429E+01,6.948145E+00
7.204140E+00,1.584053E+01,6.308139E+00
7.216740E+00,1.522275E+01,5.333022E+00
7.228920E+00,1.478443E+01,4.542889E+00
7.241040E+00,1.466381E+01,8.062270E+00
7.253710E+00,1.464603E+01,7.112512E+00
7.266220E+00,1.454372E+01,5.816109E+00
7.278140E+00,1.465212E+01,4.615502E+00
7.288720E+00,1.476688E+01,3.851645E+00
7.298820E+00,1.518340E+01,8.155745E+00
7.308520E+00,1.546452E+01,7.025313E+00
7.317760E+00,1.523742E+01,6.122029E+00
7.326820E+00,1.472166E+01,5.022364E+00
7.335940E+00,1.434012E+01,4.002177E+00
7.345410E+00,1.433888E+01,6.491516E+00
7.354960E+00,1.448685E+01,6.147412E+00
7.364400E+00,1.493613E+01,5.688721E+00
7.373940E+00,1.528307E+01,5.092216E+00
7.383330E+00,1.571832E+01,4.634234E+00
7.392950E+00,1.612594E+01,6.881918E+00
7.403030E+00,1.661113E+01,6.982456E+00
7.413130E+00,1.706787E+01,6.601906E+00
7.423220E+00,1.751810E+01,6.093004E+00
7.434350E+00,1.779474E+01,5.808324E+00
7.446250E+00,1.772040E+01,7.948829E+00
7.458780E+00,1.714520E+01,7.742015E+00
7.471300E+00,1.626496E+01,6.882107E+00
7.484010E+00,1.498021E+01,5.955475E+00
7.496480E+00,1.368508E+01,5.040157E+00
7.508010E+00,1.257309E+01,6.709903E+00
7.519460E+00,1.185734E+01,5.898382E+00
7.530130E+00,1.112294E+01,4.865156E+00
7.540650E+00,1.061695E+01,3.868935E+00
7.551140E+00,1.065893E+01,3.080630E+00
7.561810E+00,1.096132E+01,5.061948E+00
7.573090E+00,1.156843E+01,4.841874E+00
7.584640E+00,1.225537E+01,4.546036E+00
7.596490E+00,1.296723E+01,4.067249E+00
7.608490E+00,1.379589E+01,3.562848E+00
7.620620E+00,1.404175E+01,6.844063E+00
7.632980E+00,1.462140E+01,6.221691E+00
7.644870E+00,1.530152E+01,5.527426E+00
7.658120E+00,1.611436E+01,4.513623E+00
7.671080E+00,1.651125E+01,3.760937E+00
7.683180E+00,1.642780E+01,8.876573E+00
7.695070E+00,1.581481E+01,7.585194E+00
7.706370E+00,1.497561E+01,6.357007E+00
7.717400E+00,1.443569E+01,4.900750E+00
7.728310E+00,1.437448E+01,3.632311E+00
7.738770E+00,1.478297E+01,9.352692E+00
7.748560E+00,1.503204E+01,7.565294E+00
7.757670E+00,1.504140E+01,6.272174E+00
7.766480E+00,1.475927E+01,4.932717E+00
7.775350E+00,1.446350E+01,3.809372E+00
7.784460E+00,1.451348E+01,8.172813E+00
7.794480E+00,1.410926E+01,7.052892E+00
7.804900E+00,1.333850E+01,5.940697E+00
7.815360E+00,1.247995E+01,4.963276E+00
7.825960E+00,1.222765E+01,4.010572E+00
7.836880E+00,1.220630E+01,7.353509E+00
7.848150E+00,1.254063E+01,6.539245E+00
7.859420E+00,1.282019E+01,5.864152E+00
