s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PLUME FLUID MIXTURE
 2.426E+00, 0.000E+00, 0.000E+00, 1.024E+00, 1.518E-05,-2.081E-01, 0.000E+00, 0.000E+00, 8.046E-01, 8.162E-01, 0.000E+00, 4.675E-02
 2.459E+00, 0.000E+00, 0.000E+00, 1.029E+00, 1.624E-05,-2.187E-01, 0.000E+00, 0.000E+00, 7.975E-01, 8.104E-01, 0.000E+00, 4.680E-02
 2.487E+00, 0.000E+00, 0.000E+00, 1.033E+00, 1.733E-05,-2.265E-01, 0.000E+00, 0.000E+00, 7.911E-01, 8.067E-01, 0.000E+00, 4.684E-02
 2.515E+00, 0.000E+00, 0.000E+00, 1.037E+00, 1.821E-05,-2.341E-01, 0.000E+00, 0.000E+00, 7.854E-01, 8.032E-01, 0.000E+00, 4.687E-02
 2.543E+00, 0.000E+00, 0.000E+00, 1.040E+00, 1.929E-05,-2.402E-01, 0.000E+00, 0.000E+00, 7.802E-01, 8.003E-01, 0.000E+00, 4.691E-02
 2.571E+00, 0.000E+00, 0.000E+00, 1.043E+00, 2.015E-05,-2.444E-01, 0.000E+00, 0.000E+00, 7.756E-01, 7.984E-01, 0.000E+00, 4.694E-02
 2.600E+00, 0.000E+00, 0.000E+00, 1.045E+00, 2.113E-05,-2.465E-01, 0.000E+00, 0.000E+00, 7.723E-01, 7.981E-01, 0.000E+00, 4.697E-02
 2.628E+00, 0.000E+00, 0.000E+00, 1.046E+00, 2.203E-05,-2.466E-01, 0.000E+00, 0.000E+00, 7.709E-01, 7.996E-01, 0.000E+00, 4.700E-02
 2.656E+00, 0.000E+00, 0.000E+00, 1.048E+00, 2.295E-05,-2.451E-01, 0.000E+00, 0.000E+00, 7.713E-01, 8.028E-01, 0.000E+00, 4.702E-02
 2.684E+00, 0.000E+00, 0.000E+00, 1.050E+00, 2.358E-05,-2.423E-01, 0.000E+00, 0.000E+00, 7.735E-01, 8.073E-01, 0.000E+00, 4.705E-02
